,text,language
0,"

Felton tendit l’arme à Milady, qui en examina attentivement la trempe,
et qui en essaya la pointe sur le bout de son doigt. 

«Bien, dit-elle en rendant le couteau au jeune officier, celui-ci est
en bel et bon acier; vous êtes un fidèle ami, Felton",french
1,"

— Diable! mais votre femme, mon cher monsieur, qu’a-t-elle à faire dans
tout cela?

— On connaît son dévouement pour la reine, et l’on veut ou l’éloigner
de sa maîtresse, ou l’intimider pour avoir les secrets de Sa Majesté,
ou la séduire pour se servir d’elle comme d’un espion",french
2," You may possibly have some
idea, Miss Trotwood, of abetting him in his running away, and in his
complaints to you.  Your manner, which I must say does not seem intended
to propitiate, induces me to think it possible",english
3,"

— Ah! ma foi! messieurs, dit Porthos en se renversant sur sa chaise et
frisant sa moustache, voici un beau pari, j’espère.  de Busigny. 

— Parfaitement, dit le dragon. 

— Ça me fa», dit le Suisse. 

Le quatrième auditeur, qui, dans toute cette conversation, avait joué
un rôle muet, fit un signe de la tête en signe qu’il acquiesçait à la
proposition",french
4," It warn’t
hard, you may suppose, for a seafaring man like me to work his way
over to Italy.  When I got theer, I wandered on as I had done afore.  The
people was just as good to me, and I should have gone from town to town,
maybe the country through, but that I got news of her being seen among
them Swiss mountains yonder",english
5," En treize coups je perdis tout.  En treize coups!
Le nombre 13 m’a toujours été fatal, c’était le 13 du mois de juillet
que…

— Ventrebleu! s’écria d’Artagnan en se levant de table, l’histoire du
jour lui faisant oublier celle de la veille",french
6,"

— Moyennant mille pistoles, dit le capitaine. 

— Et nous y arriverons?

— Sains et saufs, dit le capitaine, aussi vrai que je m’appelle Jack
Buttler. 

— Eh bien, dit Milady, si vous tenez votre parole, ce n’est pas cinq
cents, mais mille pistoles que je vous donnerai",french
7,"

‘Nothing,’ returned Mrs.  Gummidge.  ‘You’ve come from The Willing Mind,
Dan’l?’

‘Why yes, I’ve took a short spell at The Willing Mind tonight,’ said Mr. 
Peggotty. 

‘I’m sorry I should drive you there,’ said Mrs",english
8," When I lighted
my candles, he fell into meek transports with the room that was revealed
to him; and when I heated the coffee in an unassuming block-tin vessel
in which Mrs.  Crupp delighted to prepare it (chiefly, I believe, because
it was not intended for the purpose, being a shaving-pot, and because
there was a patent invention of great price mouldering away in the
pantry), he professed so much emotion, that I could joyfully have
scalded him",english
9,"’

With these words he threw the boots towards Mr.  Mell, who went back a
few paces to pick them up, and looked at them (very disconsolately,
I was afraid), as we went on together.  I observed then, for the first
time, that the boots he had on were a good deal the worse for wear, and
that his stocking was just breaking out in one place, like a bud",english
10," As it was, an interval occurred before I fully knew
my own distress; an interval, in which I even supposed that its sharpest
pangs were past; and when my mind could soothe itself by resting on
all that was most innocent and beautiful, in the tender story that was
closed for ever",english
11," de Tréville! dit le roi, écoutez-le! ne dirait-on pas
qu’il parle d’une communauté religieuse! En vérité, mon cher capitaine,
j’ai envie de vous ôter votre brevet et de le donner à Mlle de
Chémerault, à laquelle j’ai promis une abbaye",french
12,"’

He comprehended everybody present, in the respectful bow with which he
followed these words, and disappeared.  My visitors seemed to breathe
more freely when he was gone; but my own relief was very great, for
besides the constraint, arising from that extraordinary sense of
being at a disadvantage which I always had in this man’s presence, my
conscience had embarrassed me with whispers that I had mistrusted his
master, and I could not repress a vague uneasy dread that he might
find it out",english
13," Mell from his throne, as he
shook his head, and rubbed his hands, and remained in the same state of
agitation, Mr. 

‘Favourites?’ repeated Mr.  Creakle, with the veins in his forehead
swelling quickly",english
14,"
ANGLAIS ET FRANÇAIS


L’heure venue, on se rendit avec les quatre laquais, derrière le
Luxembourg, dans un enclos abandonné aux chèvres.  Athos donna une pièce
de monnaie au chevrier pour qu’il s’écartât",french
15,"

‘I look back on my life, child,’ said my aunt, ‘and I think of some who
are in their graves, with whom I might have been on kinder terms.  If I
judged harshly of other people’s mistakes in marriage, it may have been
because I had bitter reason to judge harshly of my own",english
16,"

In the morning I was joined by Mr.  Peggotty was
stowing his bag among the luggage, ‘his life is quite broke up.  He
doen’t know wheer he’s going; he doen’t know--what’s afore him; he’s
bound upon a voyage that’ll last, on and off, all the rest of his days,
take my wured for ‘t, unless he finds what he’s a seeking of",english
17," Wickfield and Agnes.  Uriah
threw the ball to Mrs.  Heep, Mrs.  Heep caught it and threw it back to
Uriah, Uriah kept it up a little while, then sent it back to Mrs.  Heep,
and so they went on tossing it about until I had no idea who had got it,
and was quite bewildered",english
18," Can’t you see I am as umble as I can be? I tell you,
if I’ve gone too far, I’m sorry.  What would you have, sir?’

‘Oh, Trotwood, Trotwood!’ exclaimed Mr.  Wickfield, wringing his hands. 
‘What I have come down to be, since I first saw you in this house! I was
on my downward way then, but the dreary, dreary road I have traversed
since! Weak indulgence has ruined me",english
19,"

«Eh! s’écria Athos, que diable faisons-nous, messieurs?

— Avez-vous oublié quelque chose? demanda Aramis. 

— Et le drapeau, morbleu! Il ne faut pas laisser un drapeau aux mains
de l’ennemi, même quand ce drapeau ne serait qu’une serviette",french
20,"’

‘How do you know it’s not that?’ said Peggotty, after a silence. 

‘Oh, his sorrow is another and quite a different thing.  He is sorry at
this moment, sitting by the fireside with Miss Murdstone; but if I was
to go in, Peggotty, he would be something besides",english
21,"

— En effet, dit Porthos, si nous ne pouvons nous absenter du camp, nos
laquais peuvent le quitter. 

— Sans doute, dit Aramis, et dès aujourd’hui nous écrivons les lettres,
nous leur donnons de l’argent, et ils partent",french
22," Not
that I know’d then, she was theer, sir, but along of her creeping soon
arterwards under Em’ly’s little winder, when she see the light come,
and whispering “Em’ly, Em’ly, for Christ’s sake, have a woman’s heart
towards me",english
23,"

— Bien, bien, dit d’Artagnan, je vous passe de grand coeur Bazin; mais
passez-moi Planchet: Milady l’a fait jeter à la porte, certain jour,
avec force coups de bâton; or Planchet a bonne mémoire, et, je vous en
réponds, s’il peut supposer une vengeance possible, il se fera plutôt
échiner que d’y renoncer",french
24,"

— Et pour où partirai-je?

— Pour Londres. 

— Une personne illustre vous envoie, une personne illustre vous attend:
la récompense dépassera vos désirs, voilà tout ce que je puis vous
promettre. 

— Des intrigues encore, toujours des intrigues! merci, je m’en défie
maintenant, et M",french
25," Chillip.  ‘Mrs.  Chillip, coming into a little property in that
neighbourhood, under her father’s will, I bought a practice down there,
in which you will be glad to hear I am doing well.  My daughter is
growing quite a tall lass now, sir,’ said Mr",english
26,"

Arrivé au milieu de la Lys, il arrêta la barque, et suspendant son
fardeau au-dessus de la rivière:

«Laissez passer la justice de Dieu!» cria-t-il à haute voix. 

Et il laissa tomber le cadavre au plus profond de l’eau, qui se referma
sur lui",french
27,"

— Donnez», dit le duc. 

Et, le prenant des mains de Felton, il jeta sur le papier un coup
d’oeil rapide.  Alors, s’apercevant que c’était bien celui qui lui était
annoncé, il le posa sur la table, prit une plume et s’apprêta à signer",french
28,"

Il entra dans la chambre, et referma la porte derrière lui. 

«Qui êtes-vous? et que demandez-vous?» s’écria-t-elle.  «Allons, c’est
bien elle!» murmura Athos. 

Et, laissant tomber son manteau, et relevant son feutre, il s’avança
vers Milady",french
29," To see him at work on the stamps, with
the relish of an artist, touching them like pictures, looking at them
sideways, taking weighty notes of dates and amounts in his pocket-book,
and contemplating them when finished, with a high sense of their
precious value, was a sight indeed",english
30," Barkis’s wooing, as I remember it, was altogether of a peculiar
kind.  He very seldom said anything; but would sit by the fire in much
the same attitude as he sat in his cart, and stare heavily at Peggotty,
who was opposite",english
31,"

— Non pas, je vous parle franc.  Nul objet nouveau ne me touche, et même
je sens là, au fond de mon coeur, quelque chose qui parle pour vous. 
Mais, dans quinze jours, comme vous le savez ou comme vous ne le savez
pas, cette fatale campagne s’ouvre; je vais être affreusement préoccupé
de mon équipement",french
32," His picture, as a boy, was
there.  The cabinet in which his mother had kept his letters was there.  I
wondered if she ever read them now; if she would ever read them more!

The house was so still that I heard the girl’s light step upstairs",english
33,"--but I informed myself of the
hour at which she left of an evening, in order that our visit might
be timed accordingly; and taking leave of Mr.  Omer, and his pretty
daughter, and her little children, went away to my dear old Peggotty’s",english
34,"

‘Traddles,’ said I, ‘Mr.  Micawber don’t mean any harm, poor fellow: but,
if I were you, I wouldn’t lend him anything. ’

‘My dear Copperfield,’ returned Traddles, smiling, ‘I haven’t got
anything to lend",english
35,"’

‘It’s not a business-like way of speaking,’ said my aunt, ‘nor a worldly
way.  I am aware of that; and that’s the reason why I insist upon it,
that there shan’t be a word about it in his Memorial. ’

‘Is it a Memorial about his own history that he is writing, aunt?’

‘Yes, child,’ said my aunt, rubbing her nose again",english
36,"

«Seulement je cachai un verre d’eau soustraite à mon déjeuner, la soif
ayant été ce qui m’avait le plus fait souffrir quand j’étais demeurée
quarante-huit heures sans boire ni manger. 

«La journée s’écoula sans avoir d’autre influence sur moi que de
m’affermir dans la résolution prise: seulement j’eus soin que mon
visage ne trahît en rien la pensée de mon coeur, car je ne doutais pas
que je ne fusse observée; plusieurs fois même je sentis un sourire sur
mes lèvres",french
